Station,subway line,connected station,time(min)
Героїв Дніпра,blue,Мінська,2
Мінська,blue,Оболонь,2
Оболонь,blue,Почайна,2
Почайна,blue,Тараса Шевченка,3
Тараса Шевченка,blue,Контрактова площа,3
Контрактова площа,blue,Поштова площа,2
Поштова площа,blue,Майдан Незалежності,2
Майдан Незалежності,blue,Площа Льва Толстого,2
Майдан Незалежності,blue,Хрещатик,1
Площа Льва Толстого,blue,Олімпійська,2
Олімпійська,blue,Палац Україна,2
Палац Україна,blue,Либідська,1
Либідська,blue,Деміївська,2
Деміївська,blue,Голосіївська,1
Голосіївська,blue,Васильківська,2
Васильківська,blue,Виставковий центр,3
Виставковий центр,blue,Іподром,4
Іподром,blue,Теремки,2
Теремки,blue,None,None
Академмістечко,red,Житомирська,3
Житомирська,red,Святошин,3
Святошин,red,Нивки,2
Нивки,red,Берестейська,2
Берестейська,red,Шулявска,3
Шулявска,red,Політехнічний інститут,2
Політехнічний інститут,red,Вокзальна,2
Вокзальна,red,Університет,3
Університет,red,Театральна,2
Театральна,red,Хрещатик,2
Театральна,red,Золоті Ворота,1 
Хрещатик,red,Арсенальна,2
Арсенальна,red,Дніпро,3
Дніпро,red,Гідропарк,3
Гідропарк,red,Лівобережна,3
Лівобережна,red,Дарниця,2
Дарниця,red,Чернігівська,2
Чернігівська,red,Лісова,2
Лісова,red,None,None
Сирець,green,Дорогожичи,2
Дорогожичи,green,Лук'янівська,4
Лук'янівська,green,Золоті Ворота,4
Золоті Ворота,green,Палац Спорту,5
Палац Спорту,green,Кловська,2
Палац Спорту,green,Площа Льва Толстого,1
Кловська,green,Печерська,2
Печерська,green,Дружби Народів,2
Дружби Народів,green,Видубичі,3
Видубичі,green,Славутич,7
Славутич,green,Осокорки,2
Осокорки,green,Позняки,4
Позняки,green,Харківська,4
Харківська,green,Вирлиця,2
Вирлиця,green,Бориспільська,2
Бориспільська,green,Червоний хутір,2
Червоний хутір,green,None,None
